range,cityuf,citycd,pv2,barrelsa08,mfrcode,city08,lv4,rangehwy,co2a,mpgdata,uhighway,highway08,startstop,comb08u,year,model,fueltype,displ,highwayuf,highwaye,cylinders,co2,charge240,phevblended,drive,highwaya08u,highwaya08,make,highway08u,phevcomb,fuelcosta08,ucitya,ghgscore,combe,basemodel,phevcity,barrels08,fuelcost08,pv4,fescore,co2tailpipegpm,citya08u,charge240b,comba08u,rangecitya,charge120,co2tailpipeagpm,fueltype1,lv2,id,trany,highwaycd,yousavespend,citya08,ucity,vclass,createdon,city08u,combineduf,modifiedon,rangecity,citye,comb08,uhighwaya,rangehwya,phevhwy,hpv,engid,hlv,comba08,combinedcd,tcharger,eng_dscr,scharger,guzzler,fueltype2,atvtype,ghgscorea,rangea,evmotor
0,0.0,0.0,0,0.0,CRX,19,16,0.0,-1,N,43.1,30,N,22.7798,2020,Charger,Regular,3.6,0.0,0.0,6,389,0.0,false,Rear-Wheel Drive,0.0,0,Dodge,30.0971,0,0,0.0,5,0.0,Charger,0,12.935217391304349,2350,105,5,389.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,42332,Automatic 8-spd,0.0,-2250,0,23.9,Large Cars,2019-11-27,19.0003,0.0,2020-04-14,0.0,0.0,23,0.0,0.0,0,0,15,0,0,0.0,,,,,,,,,
0,0.0,0.0,0,0.0,CRX,19,0,0.0,-1,N,35.9,25,N,21.1431,2020,Journey,Regular,2.4,0.0,0.0,4,420,0.0,false,Front-Wheel Drive,0.0,0,Dodge,25.478,0,0,0.0,4,0.0,Journey,0,14.167142857142858,2550,0,4,420.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,42442,Automatic 4-spd,0.0,-3250,0,23.3,Small Sport Utility Vehicle 2WD,2020-01-16,18.5595,0.0,2020-04-14,0.0,0.0,21,0.0,0.0,0,0,551,0,0,0.0,,,,,,,,,
0,0.0,0.0,0,0.0,CRX,21,0,0.0,-1,N,40.9939,29,Y,23.876,2023,Hornet AWD,Regular,2.0,0.0,0.0,4,371,0.0,false,All-Wheel Drive,0.0,0,Dodge,28.7614,0,0,0.0,5,0.0,Hornet,0,12.39625,2250,0,5,371.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,46381,Automatic 9-spd,0.0,-1750,0,26.6,Small Sport Utility Vehicle 4WD,2023-01-26,20.9627,0.0,2023-06-01,0.0,0.0,24,0.0,0.0,0,0,569,0,0,0.0,T,SIDI,,,,,,,
0,0.0,0.0,0,0.0,CRX,21,0,0.0,-1,N,40.9939,29,Y,23.876,2024,Hornet AWD,Regular,2.0,0.0,0.0,4,371,0.0,false,All-Wheel Drive,0.0,0,Dodge,28.7614,0,0,0.0,5,0.0,Hornet,0,12.39625,2250,0,5,371.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,46711,Automatic 9-spd,0.0,-1750,0,26.6,Small Sport Utility Vehicle 4WD,2023-06-23,20.9627,0.0,2024-02-21,0.0,0.0,24,0.0,0.0,0,0,513,0,0,0.0,T,SIDI,,,,,,,
0,0.0,0.0,0,0.0,CRX,18,0,0.0,-1,N,34.5,25,Y,20.7754,2020,Durango AWD,Regular,3.6,0.0,0.0,6,427,0.0,false,All-Wheel Drive,0.0,0,Dodge,24.5623,0,0,0.0,4,0.0,Durango,0,14.167142857142858,2550,0,4,427.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,41778,Automatic 8-spd,0.0,-3250,0,23.149,Standard Sport Utility Vehicle 4WD,2019-08-12,18.4483,0.0,2020-04-14,0.0,0.0,21,0.0,0.0,0,0,521,0,0,0.0,,,,,,,,,
0,0.0,0.0,94,0.0,CRX,15,0,0.0,-1,N,32.6,23,N,17.9612,2021,Challenger,Premium,5.7,0.0,0.0,8,494,0.0,false,Rear-Wheel Drive,0.0,0,Dodge,23.3102,0,0,0.0,3,0.0,Challenger,0,16.528333333333336,3750,0,3,494.0,0.0,0.0,0.0,0.0,0.0,0.0,Premium Gasoline,16,43436,Manual 6-spd,0.0,-9250,0,18.7,Midsize Cars,2020-11-10,15.1221,0.0,2021-07-12,0.0,0.0,18,0.0,0.0,0,0,18,0,0,0.0,,,,,,,,,
0,0.0,0.0,94,0.0,CRX,16,0,0.0,-1,N,35.1989,25,N,19.062,2023,Challenger,Midgrade,5.7,0.0,0.0,8,466,0.0,false,Rear-Wheel Drive,0.0,0,Dodge,25.0202,0,0,0.0,4,0.0,Challenger,0,15.65842105263158,3250,0,4,466.0,0.0,0.0,0.0,0.0,0.0,0.0,Midgrade Gasoline,16,46265,Automatic 8-spd,0.0,-6750,0,19.8,Midsize Cars,2022-12-12,15.9536,0.0,2023-02-14,0.0,0.0,19,0.0,0.0,0,0,6,0,0,0.0,,,,,,,,,
0,0.0,0.0,94,0.0,CRX,13,0,0.0,-1,N,27.7,21,N,15.5775,2020,Challenger SRT Widebody,Premium,6.2,0.0,0.0,8,567,0.0,false,Rear-Wheel Drive,0.0,0,Dodge,20.5813,0,0,0.0,2,0.0,Challenger,0,18.594375,4200,0,2,567.0,0.0,0.0,0.0,0.0,0.0,0.0,Premium Gasoline,16,42322,Manual 6-spd,0.0,-11500,0,16.0,Midsize Cars,2019-11-27,12.9929,0.0,2020-04-14,0.0,0.0,16,0.0,0.0,0,0,10,0,0,0.0,,Hellcat engine,S,G,,,,,
0,0.0,0.0,94,0.0,CRX,15,0,0.0,-1,N,34.1161,24,N,17.7608,2020,Challenger,Premium,6.4,0.0,0.0,8,500,0.0,false,Rear-Wheel Drive,0.0,0,Dodge,24.3102,0,0,0.0,3,0.0,Challenger,0,16.528333333333336,3750,0,3,500.0,0.0,0.0,0.0,0.0,0.0,0.0,Premium Gasoline,16,42324,Automatic 8-spd,0.0,-9250,0,17.9516,Midsize Cars,2019-11-27,14.5529,0.0,2020-04-14,0.0,0.0,18,0.0,0.0,0,0,21,0,0,0.0,,,,,,,,,
0,0.0,0.0,0,0.0,CRX,18,16,0.0,-1,N,38.1,27,N,21.4055,2021,Charger AWD,Regular,3.6,0.0,0.0,6,415,0.0,false,All-Wheel Drive,0.0,0,Dodge,26.9053,0,0,0.0,4,0.0,Charger,0,14.167142857142858,2550,105,4,415.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,43453,Automatic 8-spd,0.0,-3250,0,23.0,Large Cars,2020-11-10,18.3385,0.0,2021-07-12,0.0,0.0,21,0.0,0.0,0,0,9,0,0,0.0,,,,,,,,,
