range,cityuf,citycd,pv2,barrelsa08,mfrcode,city08,lv4,rangehwy,co2a,mpgdata,uhighway,highway08,tcharger,startstop,comb08u,year,model,fueltype,displ,highwayuf,highwaye,cylinders,co2,charge240,phevblended,drive,highwaya08u,highwaya08,make,highway08u,phevcomb,fuelcosta08,ucitya,ghgscore,combe,basemodel,phevcity,barrels08,fuelcost08,pv4,fescore,co2tailpipegpm,citya08u,charge240b,comba08u,rangecitya,charge120,co2tailpipeagpm,fueltype1,lv2,id,trany,highwaycd,yousavespend,citya08,ucity,vclass,createdon,city08u,combineduf,modifiedon,rangecity,citye,comb08,eng_dscr,uhighwaya,rangehwya,phevhwy,hpv,engid,hlv,comba08,combinedcd,fueltype2,atvtype,rangea,evmotor,ghgscorea,scharger,guzzler
0,0.0,0.0,0,0.0,FMX,17,0,0.0,-1,N,35.3441,25,T,Y,19.5288,2024,F150 Pickup 2WD,Regular,3.5,0.0,0.0,6.0,455,0.0,false,Rear-Wheel Drive,0.0,0,Ford,25.1151,0,0,0.0,4,0.0,F150,0,14.8755,2700,0,4,455.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,47604,Automatic (S10),0.0,-4000,0,20.5567,Standard Pickup Trucks 2WD,2024-02-21,16.5221,0.0,2024-03-19,0.0,0.0,20,SIDI & PFI,0.0,0.0,0,0,139,0,0,0.0,,,,,,,
0,0.0,0.0,0,0.0,FMX,20,0,0.0,-1,N,40.2,27,T,Y,23.2015,2020,Explorer AWD,Regular,2.3,0.0,0.0,4.0,386,0.0,false,Part-time 4-Wheel Drive,0.0,0,Ford,27.0,0,0,0.0,5,0.0,Explorer,0,12.935217391304349,2350,0,5,386.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,41487,Automatic (S10),0.0,-2250,0,25.6,Standard Sport Utility Vehicle 4WD,2019-06-04,20.2399,0.0,2022-01-12,0.0,0.0,23,SIDI,0.0,0.0,0,0,3,0,0,0.0,,,,,,,
0,0.564,0.0,0,2.888446601941748,FMX,43,8,0.0,-1,N,59.8,40,,Y,41.7,2020,Fusion Energi Plug-in Hybrid,Regular Gas and Electricity,2.0,0.512,35.0,4.0,99,2.6,true,Front-Wheel Drive,97.4841,97,Ford,40.3,61,0,155.5,10,33.0,Fusion,65,3.334899542790698,1300,103,10,99.0,108.8605,0.0,103.4289,28.07,0.0,0.0,Regular Gasoline,0,41899,Automatic (variable gear ratios),0.0,4500,109,60.4,Midsize Cars,2019-08-20,42.9,0.542,2022-03-25,0.0,31.0,42,PHEV,0.0,23.86,57,0,94,0,103,0.0,Electricity,Plug-in Hybrid,26,68 kW DCPM,,,
0,0.0,0.0,0,0.0,FMX,27,0,0.0,-1,N,41.5,29,,Y,27.6521,2020,Explorer HEV RWD,Regular,3.3,0.0,0.0,6.0,322,0.0,false,Rear-Wheel Drive,0.0,0,Ford,29.0835,0,0,0.0,6,0.0,Explorer,0,10.625357142857142,1900,0,6,322.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,41937,Automatic (S10),0.0,0,0,34.6,Standard Sport Utility Vehicle 2WD,2019-08-26,26.5817,0.0,2022-01-12,0.0,0.0,28,SIDI & PFI; Hybrid,0.0,0.0,0,0,291,0,0,0.0,,Hybrid,,280V Li-Ion,,,
0,0.0,0.0,0,0.0,FMX,17,0,0.0,-1,N,30.1,21,T,Y,18.8698,2020,F150 Pickup 4WD Limited,Regular,3.5,0.0,0.0,6.0,467,0.0,false,Part-time 4-Wheel Drive,0.0,0,Ford,21.0,0,0,0.0,3,0.0,F150,0,15.65842105263158,2850,0,3,467.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,42177,Automatic (S10),0.0,-4750,0,21.3,Standard Pickup Trucks 4WD,2019-10-16,17.0777,0.0,2020-04-14,0.0,0.0,19,SIDI,0.0,0.0,0,0,163,0,0,0.0,,,,,,,
0,0.0,0.0,0,0.0,FMX,19,0,0.0,-1,N,28.9149,18,T,Y,18.3123,2020,Ranger 2WD Incomplete,Regular,2.3,0.0,0.0,4.0,485,0.0,false,Rear-Wheel Drive,0.0,0,Ford,17.935,0,0,0.0,3,0.0,Ranger,0,16.528333333333336,3000,0,3,485.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,42342,Automatic (S10),0.0,-5500,0,23.4,Special Purpose Vehicle 2WD,2019-11-27,18.6331,0.0,2020-04-14,0.0,0.0,18,SIDI,0.0,0.0,0,0,272,0,0,0.0,,,,,,,
0,0.0,0.0,0,0.0,FMX,21,0,0.0,-1,N,40.5,28,T,Y,23.7776,2021,Explorer RWD,Regular,2.3,0.0,0.0,4.0,373,0.0,false,Rear-Wheel Drive,0.0,0,Ford,28.4463,0,0,0.0,5,0.0,Explorer,0,12.39625,2250,0,5,373.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,43283,Automatic (S10),0.0,-1750,0,26.6,Standard Sport Utility Vehicle 2WD,2020-10-05,20.9627,0.0,2022-01-12,0.0,0.0,24,SIDI,0.0,0.0,0,0,9,0,0,0.0,,,,,,,
0,0.0,0.0,0,0.0,FMX,27,0,0.0,-1,N,40.5,28,,Y,27.3896,2021,Explorer HEV RWD,Regular,3.3,0.0,0.0,6.0,324,0.0,false,Rear-Wheel Drive,0.0,0,Ford,28.4463,0,0,0.0,6,0.0,Explorer,0,11.018888888888888,2000,0,6,324.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,43480,Automatic (S10),0.0,-500,0,34.6,Standard Sport Utility Vehicle 2WD,2020-11-10,26.5817,0.0,2022-01-12,0.0,0.0,27,SIDI & PFI; Hybrid,0.0,0.0,0,0,18,0,0,0.0,,Hybrid,,280V Li-Ion,,,
260,0.0,0.0,0,0.0,FMX,88,24,237.8,-1,Y,107.6,75,,N,81.8314,2021,Mustang Mach-E GT Performance,Electricity,,0.0,44.7491,,0,10.1,false,All-Wheel Drive,0.0,0,Ford,75.32,0,0,0.0,10,41.1883,Mustang Mach-E,0,0.0984,950,101,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Electricity,0,44798,Automatic (A1),0.0,4750,0,125.8,Small Station Wagons,2021-11-02,88.06,0.0,2023-10-19,278.2,38.275,82,,0.0,0.0,0,0,294,0,0,0.0,,EV,,179 and 179 kW AC PMSM,,,
0,0.0,0.0,0,4.258,FMX,19,0,0.0,412,N,33.1011,22,,Y,20.0,2022,F150 Pickup 4WD FFV,Gasoline or E85,3.3,0.0,0.0,6.0,444,0.0,false,Part-time 4-Wheel Drive,17.8882,18,Ford,22.0,0,2950,17.1047,4,0.0,F150,0,14.8755,2700,0,4,444.0,13.6195,0.0,15.258,0.0,0.0,412.0,Regular Gasoline,0,44872,Automatic (S10),0.0,-4000,14,23.4164,Standard Pickup Trucks 4WD,2021-11-23,18.6452,0.0,2022-01-12,0.0,0.0,20,FFV,25.0457,0.0,0,0,107,0,15,0.0,E85,FFV,358,,5.0,,
320,0.0,0.0,0,0.0,FMX,78,0,283.1,-1,N,89.9,63,,N,70.3404,2023,F-150 Lightning 4WD Extended Range,Electricity,,0.0,47.9143,,0,10.1,false,All-Wheel Drive,0.0,0,Ford,62.93,0,0,0.0,10,47.9143,F-150 Lightning,0,0.1152,1100,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Electricity,0,46327,Automatic (A1),0.0,4000,0,111.2,Standard Pickup Trucks 4WD,2023-01-11,77.84,0.0,2023-10-19,350.2,43.2857,70,,0.0,0.0,0,0,229,0,0,0.0,,EV,,210 and 210 kW AC PMSM,,,
0,0.0,0.0,0,0.0,FMX,24,0,0.0,-1,N,43.3,29,,Y,25.6715,2020,Transit Connect Wagon LWB FWD,Regular,2.0,0.0,0.0,4.0,344,0.0,false,Front-Wheel Drive,0.0,0,Ford,28.635,0,0,0.0,5,0.0,Transit Connect,0,11.442692307692308,2050,0,5,344.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,41470,Automatic (S8),0.0,-750,0,30.4,Special Purpose Vehicle 2WD,2019-06-04,23.6674,0.0,2020-01-07,0.0,0.0,26,SIDI,0.0,0.0,0,0,125,0,0,0.0,,,,,,,
0,0.0,0.0,0,0.0,FMX,21,16,0.0,-1,N,44.0,31,T,Y,24.8156,2020,Fusion FWD,Regular,2.0,0.0,0.0,4.0,355,0.0,false,Front-Wheel Drive,0.0,0,Ford,30.6641,0,0,0.0,5,0.0,Fusion,0,11.900400000000001,2150,103,5,355.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,41800,Automatic (S6),0.0,-1250,0,27.3,Midsize Cars,2019-08-15,21.4659,0.0,2020-01-07,0.0,0.0,25,SIDI,0.0,0.0,0,0,89,0,0,0.0,,,,,,,
0,0.0,0.0,85,0.0,FMX,20,0,0.0,-1,N,45.8074,27,T,N,23.0,2020,Mustang HO Convertible,Regular,2.3,0.0,0.0,4.0,386,0.0,false,Rear-Wheel Drive,0.0,0,Ford,27.0,0,0,0.0,5,0.0,Mustang,0,12.935217391304349,2350,0,5,386.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,12,41959,Automatic (S10),0.0,-2250,0,27.1841,Subcompact Cars,2019-08-29,20.0,0.0,2020-01-07,0.0,0.0,23,SIDI,0.0,0.0,0,0,440,0,0,0.0,,,,,,,
