range,cityuf,citycd,pv2,barrelsa08,mfrcode,city08,lv4,rangehwy,co2a,mpgdata,uhighway,highway08,startstop,comb08u,year,model,fueltype,displ,highwayuf,highwaye,cylinders,co2,charge240,phevblended,drive,highwaya08u,highwaya08,make,highway08u,phevcomb,fuelcosta08,ucitya,ghgscore,combe,basemodel,phevcity,barrels08,fuelcost08,pv4,fescore,co2tailpipegpm,citya08u,charge240b,comba08u,rangecitya,charge120,co2tailpipeagpm,fueltype1,lv2,id,trany,highwaycd,yousavespend,citya08,ucity,vclass,createdon,city08u,combineduf,modifiedon,rangecity,citye,comb08,uhighwaya,rangehwya,phevhwy,hpv,engid,hlv,comba08,combinedcd,tcharger,eng_dscr,atvtype,evmotor,scharger,fueltype2,rangea
0,0.0,0.0,0,0.0,CRX,21,0,0.0,-1,N,42.3,29,Y,24.1812,2020,Cherokee 4WD,Regular,2.4,0.0,0.0,4,370,0.0,false,All-Wheel Drive,0.0,0,Jeep,29.0,0,0,0.0,5,0.0,Cherokee,0,12.39625,2250,0,5,370.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,41671,Automatic 9-spd,0.0,-1750,0,26.7,Small Sport Utility Vehicle 4WD,2019-07-24,21.0347,0.0,2019-12-18,0.0,0.0,24,0.0,0.0,0,0,515,0,0,0.0,,,,,,,
0,0.0,0.0,0,0.0,CRX,13,0,0.0,-1,N,22.8,17,N,14.2579,2023,Wrangler 4dr 4WD,Premium,6.4,0.0,0.0,8,623,0.0,false,4-Wheel Drive,0.0,0,Jeep,16.6758,0,0,0.0,2,0.0,Wrangler,0,21.250714285714285,4800,0,2,623.0,0.0,0.0,0.0,0.0,0.0,0.0,Premium Gasoline,0,45697,Automatic 8-spd,0.0,-14500,0,15.6,Small Sport Utility Vehicle 4WD,2022-08-02,12.7459,0.0,2022-11-30,0.0,0.0,14,0.0,0.0,0,0,531,0,0,0.0,,,,,,,
0,0.0,0.0,0,0.0,CRX,17,0,0.0,-1,N,30.6,22,Y,19.0841,2023,Gladiator 4WD,Regular,3.6,0.0,0.0,6,466,0.0,false,4-Wheel Drive,0.0,0,Jeep,21.9805,0,0,0.0,4,0.0,Gladiator,0,15.65842105263158,2850,0,4,466.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,45817,Automatic 8-spd,0.0,-4750,0,21.5,Standard Pickup Trucks 4WD,2022-08-30,17.2268,0.0,2022-11-30,0.0,0.0,19,0.0,0.0,0,0,542,0,0,0.0,,,,,,,
0,0.0,0.0,0,0.0,CRX,14,0,0.0,-1,N,27.6499,20,Y,16.5018,2024,Grand Wagoneer 4WD,Premium,3.0,0.0,0.0,6,537,0.0,false,All-Wheel Drive,0.0,0,Jeep,19.9966,0,0,0.0,3,0.0,Grand Wagoneer,0,17.500588235294117,3950,0,3,537.0,0.0,0.0,0.0,0.0,0.0,0.0,Premium Gasoline,0,47188,Automatic 8-spd,0.0,-10250,0,17.8,Standard Sport Utility Vehicle 4WD,2023-09-19,14.4373,0.0,2024-03-19,0.0,0.0,17,0.0,0.0,0,0,524,0,0,0.0,T,SIDI,,,,,
0,0.0,0.0,0,0.0,CRX,18,0,0.0,-1,N,34.7,24,Y,20.6882,2020,Cherokee Trailhawk 4WD,Regular,3.2,0.0,0.0,6,432,0.0,false,All-Wheel Drive,0.0,0,Jeep,24.0,0,0,0.0,4,0.0,Cherokee,0,14.167142857142858,2550,0,4,432.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,41676,Automatic 9-spd,0.0,-3250,0,22.8996,Small Sport Utility Vehicle 4WD,2019-07-24,18.2644,0.0,2019-12-18,0.0,0.0,21,0.0,0.0,0,0,520,0,0,0.0,,,,,,,
0,0.0,0.0,0,0.0,CRX,18,0,0.0,-1,N,33.2,23,Y,20.4192,2020,Wrangler 4WD,Regular,3.6,0.0,0.0,6,440,0.0,false,4-Wheel Drive,0.0,0,Jeep,23.0,0,0,0.0,4,0.0,Wrangler,0,14.8755,2700,0,4,440.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,41677,Automatic 8-spd,0.0,-4000,0,23.0,Small Sport Utility Vehicle 4WD,2019-07-24,18.3385,0.0,2019-12-18,0.0,0.0,20,0.0,0.0,0,0,530,0,0,0.0,,,,,,,
0,0.0,0.0,0,0.0,CRX,19,0,0.0,-1,N,32.0,22,Y,20.3429,2020,Wrangler Unlimited 4WD,Regular,3.6,0.0,0.0,6,444,0.0,false,4-Wheel Drive,0.0,0,Jeep,22.0,0,0,0.0,4,0.0,Wrangler,0,14.8755,2700,0,4,444.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,41678,Automatic 8-spd,0.0,-4000,0,23.4,Small Sport Utility Vehicle 4WD,2019-07-24,18.6331,0.0,2019-12-18,0.0,0.0,20,0.0,0.0,0,0,534,0,0,0.0,,Mild Hybrid,Hybrid,48V Li-Ion,,,
0,0.0,0.0,0,0.0,CRX,13,0,0.0,-1,N,25.2996,18,N,14.7328,2022,Grand Wagoneer 4WD,Premium,6.4,0.0,0.0,8,602,0.0,false,All-Wheel Drive,0.0,0,Jeep,18.3966,0,0,0.0,2,0.0,Grand Wagoneer,0,19.834,4500,0,2,602.0,0.0,0.0,0.0,0.0,0.0,0.0,Premium Gasoline,0,44068,Automatic 8-spd,0.0,-13000,0,15.5,Standard Sport Utility Vehicle 4WD,2021-06-16,12.6685,0.0,2021-09-02,0.0,0.0,15,0.0,0.0,0,0,501,0,0,0.0,,,,,,,
0,0.0,0.0,0,0.0,CRX,20,0,0.0,-1,N,33.8,24,Y,21.3891,2023,Wrangler 2dr 4WD,Regular,3.6,0.0,0.0,6,416,0.0,false,4-Wheel Drive,0.0,0,Jeep,24.1023,0,0,0.0,4,0.0,Wrangler,0,14.167142857142858,2550,0,4,416.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,45692,Automatic 8-spd,0.0,-3250,0,24.7,Small Sport Utility Vehicle 4WD,2022-08-02,19.5853,0.0,2022-11-30,0.0,0.0,21,0.0,0.0,0,0,523,0,0,0.0,,Mild Hybrid,Hybrid,48V Li-Ion,,,
0,0.0,0.0,0,0.0,CRX,20,0,0.0,-1,N,33.8,24,Y,21.3891,2021,Wrangler 2dr 4WD,Regular,3.6,0.0,0.0,6,416,0.0,false,4-Wheel Drive,0.0,0,Jeep,24.1023,0,0,0.0,4,0.0,Wrangler,0,14.167142857142858,2550,0,4,416.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,42906,Automatic 8-spd,0.0,-3250,0,24.7,Small Sport Utility Vehicle 4WD,2020-08-11,19.5853,0.0,2020-11-18,0.0,0.0,21,0.0,0.0,0,0,514,0,0,0.0,,Mild Hybrid,Hybrid,48V Li-Ion,,,
